#RANK	ID	GENE_SYMBOL	ENTREZ_GENE_ID	MOI	P-VALUE	EXOMISER_GENE_COMBINED_SCORE	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
1	TGFBR2_AD	TGFBR2	7048	AD	0.0000	0.9855	0.8136	0.9856	0.8136	0.5706	0.2224	0.5137	0.8136	1.0000	0	Familial thoracic aortic aneurysm and aortic dissection (ORPHA:91387): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Aortic root aneurysm (HP:0002616), Genu valgum (HP:0002857)-Pes planus (HP:0001763), 	Patent ductus arteriosus (HP:0001643)-abnormal coronary artery morphology (MP:0004111), Aortic root aneurysm (HP:0002616)-aortic dissection (MP:0004044), Genu valgum (HP:0002857)-aortic dissection (MP:0004044), 	Patent ductus arteriosus (HP:0001643)-ventral wall of dorsal aorta decreased amount, abnormal (ZP:0018592), Aortic root aneurysm (HP:0002616)-ventral wall of dorsal aorta decreased amount, abnormal (ZP:0018592), 	Proximity to TGFBR3 associated with Familial cerebral saccular aneurysm (ORPHA:231160): Patent ductus arteriosus (HP:0001643)-Aortic dissection (HP:0002647), Aortic root aneurysm (HP:0002616)-Aortic root aneurysm (HP:0002616), 	Proximity to TGFBR3 Patent ductus arteriosus (HP:0001643)-muscular ventricular septal defect (MP:0010420), Aortic root aneurysm (HP:0002616)-muscular ventricular septal defect (MP:0010420), Genu valgum (HP:0002857)-abnormal femur morphology (MP:0000559), 	Proximity to TGFBR3 Patent ductus arteriosus (HP:0001643)-caudal vein plexus morphology, abnormal (ZP:0003348), Aortic root aneurysm (HP:0002616)-caudal vein plexus morphology, abnormal (ZP:0003348), Genu valgum (HP:0002857)-caudal fin curved, abnormal (ZP:0002408), 
2	TNNT2_AD	TNNT2	7139	AD	0.0010	0.9315	0.7020	0.9365	0.7020	0.3542	0.4151	0.5057	0.7020	1.0000	0	Cardiomyopathy, familial restrictive, 3 (OMIM:612422): Patent ductus arteriosus (HP:0001643)-Aortic aneurysm (HP:0004942), Aortic root aneurysm (HP:0002616)-Aortic aneurysm (HP:0004942), 	Patent ductus arteriosus (HP:0001643)-cardiac interstitial fibrosis (MP:0005608), Aortic root aneurysm (HP:0002616)-abnormal cardiovascular system physiology (MP:0001544), 	Patent ductus arteriosus (HP:0001643)-dorsal aorta structure, abnormal (ZP:0000715), Aortic root aneurysm (HP:0002616)-dorsal aorta structure, abnormal (ZP:0000715), Genu valgum (HP:0002857)-palatoquadrate arch decreased length, abnormal (ZP:0000732), 	Proximity to NEB associated with Typical nemaline myopathy (ORPHA:171436): Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to NEB Genu valgum (HP:0002857)-kyphosis (MP:0000160), 	Proximity to NEB Patent ductus arteriosus (HP:0001643)-pericardium edematous, abnormal (ZP:0000038), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), 
3	TPP1_AD	TPP1	1200	AD	0.0056	0.7995	0.5279	1.0000	0.4539	0.0000	0.2861	0.5279	0.5279	1.0000	0	Late infantile neuronal ceroid lipofuscinosis (ORPHA:168491): Patent ductus arteriosus (HP:0001643)-Vascular granular osmiophilic material deposition (HP:0003657), Aortic root aneurysm (HP:0002616)-Vascular granular osmiophilic material deposition (HP:0003657), Genu valgum (HP:0002857)-Astigmatism (HP:0000483), 		Patent ductus arteriosus (HP:0001643)-pericardium edematous, abnormal (ZP:0000038), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), Genu valgum (HP:0002857)-trunk curved, abnormal (ZP:0002347), 	Proximity to CTC1 associated with Cerebroretinal microangiopathy with calcifications and cysts (OMIM:612199): Patent ductus arteriosus (HP:0001643)-Gastrointestinal telangiectasia (HP:0002604), Aortic root aneurysm (HP:0002616)-Gastrointestinal telangiectasia (HP:0002604), Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to CTC1 Genu valgum (HP:0002857)-abnormal bone marrow cell morphology/development (MP:0002398), 	
4	THSD4_AD	THSD4	79875	AD	0.0062	0.7840	0.8348	0.6425	0.8348	0.5570	0.0000	0.0000	0.8348	1.0000	0	Aortic aneurysm, familial thoracic 12 (OMIM:619825): Patent ductus arteriosus (HP:0001643)-Ascending aortic dissection (HP:0004933), Aortic root aneurysm (HP:0002616)-Aortic root aneurysm (HP:0002616), Genu valgum (HP:0002857)-Arthritis (HP:0001369), 	Patent ductus arteriosus (HP:0001643)-descending aorta dilation (MP:0010473), Aortic root aneurysm (HP:0002616)-descending aorta dilation (MP:0010473), 				
5	AK4_AD	AK4	205	AD	0.0085	0.7519	0.5042	0.9969	0.0000	0.2038	0.0000	0.5042	0.5042	1.0000	0		Genu valgum (HP:0002857)-increased bone mineral content (MP:0010123), 		Proximity to ADK associated with Hypermethioninemia due to adenosine kinase deficiency (OMIM:614300): Patent ductus arteriosus (HP:0001643)-Coarctation of aorta (HP:0001680), Aortic root aneurysm (HP:0002616)-Coarctation of aorta (HP:0001680), Genu valgum (HP:0002857)-Narrow foot (HP:0001786), 	Proximity to ADK Genu valgum (HP:0002857)-abnormal spine curvature (MP:0004174), 	
6	HLA-DQB1_AD	HLA-DQB1	3119	AD	0.0090	0.7490	0.5000	1.0000	0.2679	0.4157	0.0000	0.5000	0.5000	1.0000	0	Narcolepsy type 1 (ORPHA:2073): Patent ductus arteriosus (HP:0001643)-Hypertension (HP:0000822), Aortic root aneurysm (HP:0002616)-Hypertension (HP:0000822), 	Patent ductus arteriosus (HP:0001643)-abnormal artery development (MP:0003410), Aortic root aneurysm (HP:0002616)-abnormal artery development (MP:0003410), 		Proximity to CUX1 associated with Global developmental delay with or without impaired intellectual development (OMIM:618330): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Pectus excavatum (HP:0000767), 	Proximity to CUX1 Genu valgum (HP:0002857)-curly vibrissae (MP:0001274), 	
6	HLA-DQB1_AR	HLA-DQB1	3119	AR	0.0090	0.7490	0.5000	1.0000	0.2679	0.4157	0.0000	0.5000	0.5000	1.0000	0	Narcolepsy type 1 (ORPHA:2073): Patent ductus arteriosus (HP:0001643)-Hypertension (HP:0000822), Aortic root aneurysm (HP:0002616)-Hypertension (HP:0000822), 	Patent ductus arteriosus (HP:0001643)-abnormal artery development (MP:0003410), Aortic root aneurysm (HP:0002616)-abnormal artery development (MP:0003410), 		Proximity to CUX1 associated with Global developmental delay with or without impaired intellectual development (OMIM:618330): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Pectus excavatum (HP:0000767), 	Proximity to CUX1 Genu valgum (HP:0002857)-curly vibrissae (MP:0001274), 	
6	PCDHA4_AR	PCDHA4	56144	AR	0.0091	0.7490	0.5000	1.0000	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to PTPN22 associated with Giant cell arteritis (ORPHA:397): Patent ductus arteriosus (HP:0001643)-Double outlet right ventricle with subpulmonary ventricular septal defect without pulmonary stenosis (HP:0011658), Aortic root aneurysm (HP:0002616)-Abdominal aortic aneurysm (HP:0005112), Genu valgum (HP:0002857)-Arthritis (HP:0001369), 	Proximity to PTPN22 Patent ductus arteriosus (HP:0001643)-vascular inflammation (MP:0001864), Aortic root aneurysm (HP:0002616)-vascular inflammation (MP:0001864), Genu valgum (HP:0002857)-abnormal T cell differentiation (MP:0002145), 	
9	ASAH2B_AR	ASAH2B	653308	AR	0.0091	0.7489	0.5000	1.0000	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to GDF1 associated with Congenital heart defects, multiple types, 6 (OMIM:613854): Patent ductus arteriosus (HP:0001643)-Transposition of the great arteries (HP:0001669), Aortic root aneurysm (HP:0002616)-Coarctation of aorta (HP:0001680), Genu valgum (HP:0002857)-Single ventricle (HP:0001750), 	Proximity to GDF1 Patent ductus arteriosus (HP:0001643)-ventricular septal defect (MP:0010402), Aortic root aneurysm (HP:0002616)-abnormal vena cava morphology (MP:0006062), Genu valgum (HP:0002857)-annular pancreas (MP:0006261), 	
9	TRIM64B_AD	TRIM64B	642446	AD	0.0091	0.7489	0.5000	1.0000	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to SCN2A associated with Malignant migrating focal seizures of infancy (ORPHA:293181): Patent ductus arteriosus (HP:0001643)-Aortopulmonary collateral arteries (HP:0031834), Aortic root aneurysm (HP:0002616)-Aortopulmonary collateral arteries (HP:0031834), 		
11	ECHDC2_AD	ECHDC2	55268	AD	0.0092	0.7486	0.5001	0.9997	0.0000	0.0000	0.0000	0.5001	0.5001	1.0000	0				Proximity to SUCLG1 associated with Fatal infantile lactic acidosis with methylmalonic aciduria (ORPHA:17): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Coarctation of aorta (HP:0001680), Genu valgum (HP:0002857)-Short femur (HP:0003097), 		
12	L3HYPDH_AD	L3HYPDH	112849	AD	0.0098	0.7472	0.5000	0.9990	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to GLYCTK associated with D-glyceric aciduria (OMIM:220120): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Single transverse palmar crease (HP:0000954), 		
13	CTSB_AD	CTSB	1508	AD	0.0099	0.7470	0.5026	0.9959	0.3052	0.0000	0.1949	0.5026	0.5026	1.0000	0	Keratolytic winter erythema (OMIM:148370): Patent ductus arteriosus (HP:0001643)-Erythema (HP:0010783), Aortic root aneurysm (HP:0002616)-Erythema (HP:0010783), Genu valgum (HP:0002857)-Palmoplantar hyperhidrosis (HP:0007410), 		Genu valgum (HP:0002857)-notochord spatial pattern, abnormal (ZP:0018977), 	Proximity to COL18A1 associated with Knobloch syndrome (ORPHA:1571): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Depressed nasal bridge (HP:0005280), 	Proximity to COL18A1 Patent ductus arteriosus (HP:0001643)-abnormal choroid plexus morphology (MP:0000820), Aortic root aneurysm (HP:0002616)-abnormal choroid plexus morphology (MP:0000820), Genu valgum (HP:0002857)-enlarged cranium (MP:0000439), 	
14	NEB_AR	NEB	4703	AR	0.0116	0.7426	0.6735	0.8000	0.6735	0.1851	0.2197	0.5375	0.6735	1.0000	0	Typical nemaline myopathy (ORPHA:171436): Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Genu valgum (HP:0002857)-kyphosis (MP:0000160), 	Patent ductus arteriosus (HP:0001643)-pericardium edematous, abnormal (ZP:0000038), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), 	Proximity to MYPN associated with Cap myopathy (ORPHA:171881): Patent ductus arteriosus (HP:0001643)-Aortic root aneurysm (HP:0002616), Aortic root aneurysm (HP:0002616)-Aortic root aneurysm (HP:0002616), Genu valgum (HP:0002857)-Pes planus (HP:0001763), 	Proximity to MYPN Patent ductus arteriosus (HP:0001643)-cardiac interstitial fibrosis (MP:0005608), Aortic root aneurysm (HP:0002616)-cardiac interstitial fibrosis (MP:0005608), 	
15	EPB41L2_AD	EPB41L2	2037	AD	0.0694	0.5760	0.5005	0.9138	0.0000	0.0000	0.0000	0.5005	0.5005	1.0000	0				Proximity to CADM3 associated with Charcot-Marie-Tooth disease, axonal, type 2FF (OMIM:619519): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Pes planus (HP:0001763), 		
16	COL4A2_AD	COL4A2	1284	AD	0.0829	0.5335	0.5057	0.8892	0.3266	0.5009	0.0000	0.5057	0.5057	1.0000	0	Brain small vessel disease 2 (OMIM:614483): Patent ductus arteriosus (HP:0001643)-Intracranial hemorrhage (HP:0002170), Aortic root aneurysm (HP:0002616)-Intracranial hemorrhage (HP:0002170), 	Patent ductus arteriosus (HP:0001643)-muscular ventricular septal defect (MP:0010420), Aortic root aneurysm (HP:0002616)-abnormal inferior vena cava morphology (MP:0006063), Genu valgum (HP:0002857)-fusion of vertebral arches (MP:0004613), 		Proximity to COL10A1 associated with Metaphyseal chondrodysplasia, Schmid type (OMIM:156500): Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to COL10A1 Genu valgum (HP:0002857)-short femur (MP:0003109), 	
